"USERID";"PERMISSIONID"
3;"aw_c"
3;"aw_d"
3;"aw_orders"
3;"aw_r"
3;"aw_remind"
3;"aw_u"
3;"awf_c"
3;"awf_d"
3;"awf_orders"
3;"awf_r"
3;"awf_remind"
3;"awf_u"
3;"bbt_manage"
3;"c_r"
3;"claim_factory"
3;"claim_trucker"
3;"j_c"
3;"j_d"
3;"j_orders"
3;"j_r"
3;"j_remind"
3;"j_u"
3;"joborder_c"
3;"joborder_d"
3;"joborder_r"
3;"joborder_remind"
3;"joborder_report"
3;"joborder_rollback"
3;"joborder_s"
3;"joborder_tax"
3;"joborder_u"
3;"marketing_mail"
3;"marketing_template"
3;"orderbook_c"
3;"orderbook_change"
3;"orderbook_d"
3;"orderbook_orbf"
3;"orderbook_r"
3;"orderbook_remind"
3;"orderbook_report"
3;"orderbook_s"
3;"orderbook_ship"
3;"orderbook_u"
3;"quote_c"
3;"quote_d"
3;"quote_follow"
3;"quote_r"
3;"quote_report"
3;"quote_s"
3;"quote_u"
3;"quote_undead"
3;"sbc_c"
3;"sbc_d"
3;"sbc_orders"
3;"sbc_r"
3;"sbc_remind"
3;"sbc_u"
3;"spl_c"
3;"spl_d"
3;"spl_orders"
3;"spl_r"
3;"spl_remind"
3;"spl_u"
3;"takeoff_c"
3;"takeoff_d"
3;"takeoff_loginemail"
3;"takeoff_r"
3;"takeoff_report"
3;"takeoff_s"
3;"takeoff_u"
